pattern,supercell_repeats,device_length_mm,pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite,minimum_in_band_gain_db,maximum_in_band_gain_db,strict_pass
13-3-13,1600,92.8,12.199999999999996,0.00035,0.00029,"[4.0, 8.0]",40.05620069024389,7.0,33.23791984608959,33.24294218307238,14.010785273520199,4.587732451938133,1.0,1.0,1.0,"[(5.5, 6.0), (7.0, 7.0)]",1.5,True,26.045415416723692,40.05620069024389,False
13-3-13,1600,92.8,11.0,0.00035,0.00029,"[4.0, 8.0]",45.132379807855884,5.5,37.387230386026104,35.61493470594995,14.19120344952562,4.9421591120385795,1.0,1.0,1.0,"[(5.0, 5.5)]",1.0,True,30.941176358330264,45.132379807855884,False
13-3-13,1200,69.6,11.599999999999998,0.00045,0.00021999999999999998,"[4.0, 8.0]",39.99025252648784,7.5,36.58817630400595,38.12474713506934,14.50979284487342,4.173204823583732,1.0,1.0,1.0,"[(5.0, 6.5), (7.5, 8.0)]",3.0,True,25.480459681614423,39.99025252648784,False
13-3-13,2200,127.6,11.0,0.00035,0.00029,"[4.0, 8.0]",45.510266314395906,5.5,37.578944548661475,37.821480693186956,14.72934629230857,5.5067238356808,1.0,1.0,1.0,"[(5.0, 6.0)]",1.5,True,30.780920022087336,45.510266314395906,False
13-3-13,900,52.2,12.199999999999996,0.00045,0.00029,"[4.0, 8.0]",44.06726380107556,5.0,37.933610669148564,40.269722794755545,14.754068920395014,5.0304959577422785,1.0,1.0,1.0,"[(5.0, 5.0), (6.0, 6.0), (7.5, 7.5)]",1.5,True,29.31319488068055,44.06726380107556,False
13-3-13,1600,92.8,11.2,0.00035,0.00029,"[4.0, 8.0]",42.49225077954386,4.0,37.07239989818559,37.85722552085416,14.941981550615722,4.444672844431219,1.0,1.0,1.0,"[(4.0, 4.0), (5.0, 5.0), (6.5, 6.5)]",1.5,True,27.550269228928137,42.49225077954386,False
13-3-13,900,52.2,12.999999999999993,0.00025,0.00021999999999999998,"[4.0, 8.0]",38.171852853090876,8.0,31.16306367014085,30.271312163259697,14.962846542247743,4.956744064946447,1.0,1.0,1.0,"[(7.0, 8.0)]",1.5,True,23.209006310843133,38.171852853090876,False
13-3-13,1200,69.6,11.799999999999997,0.00045,0.00021999999999999998,"[4.0, 8.0]",38.34500484175513,4.5,33.78136059558222,34.71920360415092,14.987931623762726,4.476080885538535,1.0,1.0,1.0,"[(4.5, 5.0), (7.0, 7.0), (8.0, 8.0)]",2.0,True,23.3570732179924,38.34500484175513,False
13-3-13,900,52.2,13.199999999999992,0.00025,0.00029,"[4.0, 8.0]",39.98485585335379,8.0,34.27582918231204,34.25124434205086,15.027488140920642,5.105194943256437,1.0,1.0,1.0,"[(6.5, 8.0)]",2.0,True,24.95736771243315,39.98485585335379,False
13-3-13,900,52.2,11.599999999999998,0.00035,0.00029,"[4.0, 8.0]",40.767826728884046,8.0,33.55856931064583,33.09332853055657,15.045166520463145,4.485352746709514,1.0,1.0,1.0,"[(7.5, 8.0)]",1.0,True,25.7226602084209,40.767826728884046,False
13-3-13,1200,69.6,11.2,0.00045,0.00029,"[4.0, 8.0]",45.15756296194104,7.5,37.39691889932415,35.94454805364758,15.331152914049113,5.301282785234019,1.0,1.0,1.0,"[(4.5, 4.5), (7.5, 8.0)]",1.5,True,29.826410047891926,45.15756296194104,False
