pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite,minimum_in_band_gain_db,maximum_in_band_gain_db,strict_qualified
13.079999999999998,0.00026499999999999994,0.00035999999999999997,"[4.0, 8.0]",21.59692362495011,5.599999999999994,20.460483850111846,20.82797337331534,4.098127014738893,1.1008851987671369,1.0,1.0,0.7283950617283951,"[(4.0, 7.599999999999987)]",3.649999999999987,True,17.49879661021122,21.59692362495011,False
13.089999999999998,0.00026499999999999994,0.00035999999999999997,"[4.0, 8.0]",18.45740892902241,5.599999999999994,17.333065492086764,17.670805055191384,4.101385605314247,1.1093284597255946,0.9382716049382716,0.7037037037037037,0.0,"[(4.0, 7.599999999999987)]",3.649999999999987,True,14.356023323708163,18.45740892902241,False
13.099999999999998,0.00026499999999999994,0.00035999999999999997,"[4.0, 8.0]",14.378094530949427,5.149999999999996,13.24826681133296,13.629344623640554,4.208512478439031,1.1565491088598026,0.0,0.0,0.0,"[(4.0, 7.549999999999987)]",3.599999999999987,True,10.169582052510396,14.378094530949427,False
13.02,0.00026499999999999994,0.00037,"[4.0, 8.0]",40.698590002417546,6.89999999999999,39.94578195930066,40.089054817507154,2.382658015242477,0.6499798208604196,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True,38.31593198717507,40.698590002417546,True
13.03,0.00026499999999999994,0.00037,"[4.0, 8.0]",39.97571972913249,6.549999999999991,39.24611026093542,39.44411157360465,2.5067991057202192,0.6799412531350334,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True,37.468920623412274,39.97571972913249,True
13.04,0.00026499999999999994,0.00037,"[4.0, 8.0]",39.14740043487122,6.249999999999992,38.32314690240941,38.57463500806789,2.688426545655119,0.7701688611344824,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True,36.458973889216104,39.14740043487122,True
13.049999999999999,0.00026499999999999994,0.00037,"[4.0, 8.0]",38.02075076676299,6.149999999999992,37.09091662757605,37.34960586955401,3.013348329386581,0.8732902994501923,1.0,1.0,1.0,"[(4.0, 7.949999999999986)]",3.999999999999986,True,35.007402437376406,38.02075076676299,False
13.059999999999999,0.00026499999999999994,0.00037,"[4.0, 8.0]",36.241004310366485,6.049999999999993,35.20746979658128,35.499627979108574,3.4866390070723057,0.9796994188475221,1.0,1.0,1.0,"[(4.0, 7.849999999999986)]",3.899999999999986,True,32.75436530329418,36.241004310366485,False
13.069999999999999,0.00026499999999999994,0.00037,"[4.0, 8.0]",34.091638506507934,5.749999999999994,32.96486111588462,33.30856586731957,3.8105361686643455,1.0495615702570171,1.0,1.0,1.0,"[(4.0, 7.749999999999987)]",3.7999999999999865,True,30.28110233784359,34.091638506507934,False
13.079999999999998,0.00026499999999999994,0.00037,"[4.0, 8.0]",31.980042712482906,5.699999999999994,30.812142625404604,31.163415828234292,3.9684133061174656,1.082268396402475,1.0,1.0,1.0,"[(4.0, 7.699999999999987)]",3.7499999999999867,True,28.01162940636544,31.980042712482906,False
13.089999999999998,0.00026499999999999994,0.00037,"[4.0, 8.0]",29.32059923809607,5.649999999999994,28.127626521386976,28.481334968400173,4.070491562466035,1.0990982571666943,1.0,1.0,1.0,"[(4.0, 7.649999999999987)]",3.699999999999987,True,25.250107675630034,29.32059923809607,False
13.099999999999998,0.00026499999999999994,0.00037,"[4.0, 8.0]",25.797019258679455,5.599999999999994,24.60705225677501,24.964770528591245,4.104937597803158,1.1020251698559038,1.0,1.0,1.0,"[(4.0, 7.599999999999987)]",3.649999999999987,True,21.692081660876298,25.797019258679455,False
13.02,0.00027499999999999996,0.00034999999999999994,"[4.0, 8.0]",34.64301302406278,5.699999999999994,33.558628898274485,33.86706545222279,3.7997109310060537,1.0285528484184299,1.0,1.0,1.0,"[(4.0, 7.749999999999987)]",3.7999999999999865,True,30.843302093056728,34.64301302406278,False
13.03,0.00027499999999999996,0.00034999999999999994,"[4.0, 8.0]",32.68264067882458,5.649999999999994,31.545625587319584,31.86902346643194,3.9855132378638096,1.0712155442535412,1.0,1.0,1.0,"[(4.0, 7.699999999999987)]",3.7499999999999867,True,28.697127440960774,32.68264067882458,False
13.04,0.00027499999999999996,0.00034999999999999994,"[4.0, 8.0]",30.778152963394074,5.649999999999994,29.62038716042089,29.955000468254333,4.07548203176875,1.0921058282359248,1.0,1.0,1.0,"[(4.0, 7.649999999999987)]",3.699999999999987,True,26.702670931625324,30.778152963394074,False
13.049999999999999,0.00027499999999999996,0.00034999999999999994,"[4.0, 8.0]",28.677938782019737,5.649999999999994,27.511471994480292,27.862352765569952,4.11862100848305,1.1020874474223934,1.0,1.0,1.0,"[(4.0, 7.649999999999987)]",3.699999999999987,True,24.559317773536687,28.677938782019737,False
13.059999999999999,0.00027499999999999996,0.00034999999999999994,"[4.0, 8.0]",25.90345168608838,5.599999999999994,24.73855322015167,25.089425467552978,4.138692268957467,1.1059723402429888,1.0,1.0,1.0,"[(4.0, 7.599999999999987)]",3.649999999999987,True,21.764759417130914,25.90345168608838,False
13.069999999999999,0.00027499999999999996,0.00034999999999999994,"[4.0, 8.0]",22.92088079667306,5.599999999999994,21.765943154120794,22.114849058163593,4.132474110886456,1.105838837781438,1.0,1.0,0.8888888888888888,"[(4.0, 7.599999999999987)]",3.649999999999987,True,18.788406685786605,22.92088079667306,False
13.079999999999998,0.00027499999999999996,0.00034999999999999994,"[4.0, 8.0]",20.20945857435025,5.599999999999994,19.069411965568438,19.426336423613275,4.118959347988479,1.1076704048562367,1.0,0.9135802469135802,0.2345679012345679,"[(4.0, 7.599999999999987)]",3.649999999999987,True,16.09049922636177,20.20945857435025,False
13.089999999999998,0.00027499999999999996,0.00034999999999999994,"[4.0, 8.0]",16.929995317934136,5.599999999999994,15.799139015872184,16.15927977205745,4.150374315486788,1.1253281128593446,0.7901234567901234,0.0,0.0,"[(4.0, 7.599999999999987)]",3.649999999999987,True,12.779621002447348,16.929995317934136,False
13.099999999999998,0.00027499999999999996,0.00034999999999999994,"[4.0, 8.0]",12.64137953918768,5.099999999999996,11.460282271818278,11.896356459443453,4.394043944657193,1.2082054623966922,0.0,0.0,0.0,"[(4.0, 7.499999999999988)]",3.5499999999999874,True,8.247335594530487,12.64137953918768,False
13.02,0.00027499999999999996,0.00035999999999999997,"[4.0, 8.0]",40.31455698308914,6.84999999999999,39.568776771130814,39.706587758477255,2.3958686792500075,0.648850004113926,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True,37.91868830383913,40.31455698308914,True
13.03,0.00027499999999999996,0.00035999999999999997,"[4.0, 8.0]",39.54457762107806,6.499999999999991,38.80408643028771,39.02439475444637,2.539012994288683,0.6927072253900499,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True,37.00556462678938,39.54457762107806,True
13.04,0.00027499999999999996,0.00035999999999999997,"[4.0, 8.0]",38.65274861737239,6.249999999999992,37.807128419991514,38.050607916852655,2.732303597167487,0.7910547150036709,1.0,1.0,1.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True,35.9204450202049,38.65274861737239,True
13.049999999999999,0.00027499999999999996,0.00035999999999999997,"[4.0, 8.0]",37.440273165058365,6.0999999999999925,36.486895313876005,36.77674061169452,3.1135017223659815,0.8968309735521375,1.0,1.0,1.0,"[(4.0, 7.949999999999986)]",3.999999999999986,True,34.32677144269238,37.440273165058365,False
13.059999999999999,0.00027499999999999996,0.00035999999999999997,"[4.0, 8.0]",35.54337096282806,5.749999999999994,34.48613709378408,34.79909527693688,3.567367743344576,1.0005938074351832,1.0,1.0,1.0,"[(4.0, 7.7999999999999865)]",3.8499999999999863,True,31.97600321948348,35.54337096282806,False
13.069999999999999,0.00027499999999999996,0.00035999999999999997,"[4.0, 8.0]",33.26667189568591,5.749999999999994,32.121040200074404,32.46731067945343,3.8698038599088633,1.0659134506799846,1.0,1.0,1.0,"[(4.0, 7.699999999999987)]",3.7499999999999867,True,29.396868035777047,33.26667189568591,False
13.079999999999998,0.00027499999999999996,0.00035999999999999997,"[4.0, 8.0]",31.047409355348513,5.699999999999994,29.862438653555614,30.226458243475168,4.015981763774231,1.094710786294575,1.0,1.0,1.0,"[(4.0, 7.649999999999987)]",3.699999999999987,True,27.031427591574282,31.047409355348513,False
13.089999999999998,0.00027499999999999996,0.00035999999999999997,"[4.0, 8.0]",28.25840989107732,5.649999999999994,27.057639705223412,27.423064814911264,4.09625920243808,1.1074061514973377,1.0,1.0,1.0,"[(4.0, 7.649999999999987)]",3.699999999999987,True,24.16215068863924,28.25840989107732,False
13.099999999999998,0.00027499999999999996,0.00035999999999999997,"[4.0, 8.0]",24.58998945742377,5.599999999999994,23.390650283983238,23.745371643243672,4.127908109547526,1.1078525638438577,1.0,1.0,1.0,"[(4.0, 7.599999999999987)]",3.649999999999987,True,20.462081347876243,24.58998945742377,False
13.02,0.00027499999999999996,0.00037,"[4.0, 8.0]",41.706797542269065,7.999999999999986,37.926249176632254,37.21805064784332,5.344511804881506,1.638654973322996,1.0,1.0,1.0,"[(6.89999999999999, 7.999999999999986)]",1.149999999999996,True,36.36228573738756,41.706797542269065,False
