pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite,minimum_in_band_gain_db,maximum_in_band_gain_db
12.999999999999998,0.00025,0.00028,"[4.0, 8.0]",38.100446666962455,4.5,32.059236999048295,34.25220166126685,13.844362022642095,4.544325986129849,1.0,1.0,1.0,"[(4.5, 4.5), (6.0, 6.0)]",1.0,True,24.25608464432036,38.100446666962455
12.999999999999998,0.00025,0.00022999999999999998,"[4.0, 8.0]",35.56279970973457,4.0,28.04808986147513,27.08327785411381,13.946318579108073,3.9247508856748485,1.0,1.0,1.0,"[(4.0, 4.0)]",0.5,True,21.616481130626497,35.56279970973457
12.799999999999999,0.00035,0.00033,"[4.0, 8.0]",43.29147788908284,7.5,36.64626426004845,37.5542669468572,14.022994248513225,4.673516129951692,1.0,1.0,1.0,"[(6.0, 6.0), (7.5, 7.5)]",1.0,True,29.268483640569617,43.29147788908284
12.7,0.00039999999999999996,0.00033,"[4.0, 8.0]",40.93875874370116,8.0,34.02848808072249,33.865695501478676,14.298937389321676,4.4673303326048615,1.0,1.0,1.0,"[(7.5, 8.0)]",1.0,True,26.63982135437948,40.93875874370116
12.799999999999999,0.0003,0.00033,"[4.0, 8.0]",40.33870779488045,7.5,33.38644250475019,33.13492070923791,14.963614398775935,5.234386401196819,1.0,1.0,1.0,"[(4.5, 4.5), (5.5, 5.5), (7.0, 7.5)]",2.0,True,25.375093396104514,40.33870779488045
13.099999999999998,0.00035,0.00022999999999999998,"[4.0, 8.0]",36.68263246314827,7.5,30.870940567396676,32.177471301494684,15.54265230960646,4.966802432798938,1.0,1.0,1.0,"[(5.5, 5.5), (7.5, 8.0)]",1.5,True,21.139980153541813,36.68263246314827
12.6,0.00025,0.00017999999999999998,"[4.0, 8.0]",35.526858725537245,7.5,29.811417044050586,31.866135056500934,16.465876499193605,4.9514185067608745,1.0,1.0,0.8888888888888888,"[(7.0, 8.0)]",1.5,True,19.06098222634364,35.526858725537245
12.899999999999999,0.00035,0.00033,"[4.0, 8.0]",45.10509456242457,8.0,37.21915682525543,38.44622315708363,16.659503551709786,5.186259107705338,1.0,1.0,1.0,"[(7.5, 8.0)]",1.0,True,28.445591010714782,45.10509456242457
13.099999999999998,0.00025,0.00033,"[4.0, 8.0]",40.34127078459896,4.5,33.514937118210455,34.64211705753726,17.598797375767997,5.525744694684665,1.0,1.0,1.0,"[(4.5, 4.5), (6.0, 6.0), (7.5, 7.5)]",1.5,True,22.742473408830964,40.34127078459896
13.099999999999998,0.0003,0.00028,"[4.0, 8.0]",37.894522925896965,8.0,29.937009720755157,30.09866228710647,17.7229494457425,5.018794088285634,1.0,1.0,1.0,"[(4.5, 4.5), (8.0, 8.0)]",1.0,True,20.171573480154464,37.894522925896965
12.6,0.00035,0.00033,"[4.0, 8.0]",44.69098714452456,8.0,36.0305423181656,37.52782839628294,17.943454599277416,6.377572635806192,1.0,1.0,1.0,"[(7.5, 8.0)]",1.0,True,26.747532545247147,44.69098714452456
12.6,0.0003,0.00033,"[4.0, 8.0]",42.62807417432324,7.5,34.7280894802057,37.000601552583184,18.17189981446109,5.701059136725955,1.0,1.0,1.0,"[(7.5, 7.5)]",0.5,True,24.45617435986215,42.62807417432324
12.899999999999999,0.00035,0.00028,"[4.0, 8.0]",40.04431795622787,7.5,32.04018150892796,31.733840447277885,18.94898905234331,5.439918969345864,1.0,1.0,1.0,"[(7.5, 7.5)]",0.5,True,21.09532890388456,40.04431795622787
12.899999999999999,0.00039999999999999996,0.00033,"[4.0, 8.0]",43.768234173256914,7.5,33.58512366465723,34.55880071959167,21.31065784676918,7.098677611559781,1.0,1.0,1.0,"[(5.5, 5.5), (7.5, 7.5)]",1.0,True,22.457576326487736,43.768234173256914
12.7,0.00039999999999999996,0.00028,"[4.0, 8.0]",42.400462490332835,7.5,30.675223790462343,29.680200088274674,24.964688762573132,7.333663085167707,1.0,1.0,0.8888888888888888,"[(5.5, 5.5), (7.5, 7.5)]",1.0,True,17.435773727759702,42.400462490332835
12.899999999999999,0.0003,0.00033,"[4.0, 8.0]",43.98761296257787,6.5,34.41512652294779,39.0722882612019,27.057517661134234,8.952026720756026,1.0,0.8888888888888888,0.8888888888888888,"[(6.0, 6.5), (8.0, 8.0)]",1.5,True,16.930095301443636,43.98761296257787
12.799999999999999,0.0003,0.00017999999999999998,"[4.0, 8.0]",34.72020571944419,6.5,25.00526900655477,25.52717215350844,17.956462756113957,4.875080752742206,1.0,0.8888888888888888,0.8888888888888888,"[(6.5, 6.5)]",0.5,True,16.76374296333023,34.72020571944419
12.899999999999999,0.00025,0.00017999999999999998,"[4.0, 8.0]",32.774718129694506,7.0,25.46955940024503,25.738673686884358,16.085850982003453,5.713794023723544,1.0,0.8888888888888888,0.7777777777777778,"[(6.0, 6.0), (7.0, 7.5)]",1.5,True,16.688867147691052,32.774718129694506
12.6,0.00035,0.00028,"[4.0, 8.0]",37.129624934298285,7.5,29.338236635597266,31.481630359892478,22.07305092125293,7.114819426126779,1.0,0.8888888888888888,0.7777777777777778,"[(7.5, 8.0)]",1.0,True,15.056574013045356,37.129624934298285
12.999999999999998,0.00039999999999999996,0.00033,"[4.0, 8.0]",41.289225834958046,8.0,31.299335667761486,33.781649674282065,30.518693561774217,8.848980295006863,0.8888888888888888,0.8888888888888888,0.8888888888888888,"[(6.0, 6.0), (8.0, 8.0)]",1.0,True,10.770532273183829,41.289225834958046
12.799999999999999,0.00025,0.00022999999999999998,"[4.0, 8.0]",37.61049864861158,6.0,28.88993811827086,32.72052478287123,34.308029792424215,10.453397048980891,0.8888888888888888,0.8888888888888888,0.7777777777777778,"[(4.5, 4.5), (6.0, 6.0)]",1.0,True,3.3024688561873643,37.61049864861158
12.6,0.0003,0.00017999999999999998,"[4.0, 8.0]",35.30531615978433,6.5,26.42634286722187,29.009202683899634,32.22836149248891,9.193485236766694,0.8888888888888888,0.8888888888888888,0.8888888888888888,"[(6.5, 6.5), (7.5, 8.0)]",1.5,True,3.076954667295424,35.30531615978433
13.099999999999998,0.00039999999999999996,0.00022999999999999998,"[4.0, 8.0]",37.16447807315439,6.5,27.86025043192572,30.77961885722495,34.654897617877154,9.770337646895323,0.8888888888888888,0.8888888888888888,0.8888888888888888,"[(6.5, 6.5), (7.5, 8.0)]",1.5,True,2.509580455277237,37.16447807315439
12.899999999999999,0.00025,0.00022999999999999998,"[4.0, 8.0]",40.136459374572894,7.5,31.479453226468145,33.418517620215674,37.977695043446,10.878724787815756,0.8888888888888888,0.8888888888888888,0.8888888888888888,"[(6.5, 6.5), (7.5, 8.0)]",1.5,True,2.1587643311268954,40.136459374572894
13.099999999999998,0.00035,0.00028,"[4.0, 8.0]",40.207446826522684,6.5,29.008815426768592,33.57848843224405,38.267074013252525,10.811176344588581,0.8888888888888888,0.8888888888888888,0.8888888888888888,"[(6.5, 6.5)]",0.5,True,1.940372813270161,40.207446826522684
12.899999999999999,0.0003,0.00017999999999999998,"[4.0, 8.0]",34.638230972067625,6.0,23.92456026946238,26.799653776895273,32.88828150383426,9.258403793884618,0.8888888888888888,0.8888888888888888,0.6666666666666666,"[(6.0, 6.0)]",0.5,True,1.749949468233366,34.638230972067625
13.099999999999998,0.0003,0.00033,"[4.0, 8.0]",40.537449441162714,8.0,29.846650841811865,34.72832900121442,38.815719939302674,11.15326260418985,0.8888888888888888,0.8888888888888888,0.8888888888888888,"[(8.0, 8.0)]",0.5,True,1.721729501860041,40.537449441162714
12.7,0.00025,0.00022999999999999998,"[4.0, 8.0]",33.775995912831306,5.5,26.804183295448762,31.488418329420167,33.55575300406509,10.438109904085636,0.8888888888888888,0.8888888888888888,0.7777777777777778,"[(4.5, 4.5), (5.5, 6.5), (8.0, 8.0)]",2.5,True,0.22024290876621347,33.775995912831306
12.6,0.00025,0.00022999999999999998,"[4.0, 8.0]",38.028164469288996,8.0,27.640686133204028,30.452466569923796,38.051462215991556,11.122508360138644,0.8888888888888888,0.8888888888888888,0.8888888888888888,"[(5.5, 5.5), (8.0, 8.0)]",1.0,True,-0.023297746702560674,38.028164469288996
