freq_GHz,S21_db_engineered,k_star_engineered_rad,bloch_evanescence_Np_per_cell
1.198000000000001,-0.0,-1.0540518210783167e-05,0.0
1.2000000000000008,-0.0,-1.049946190056876e-05,0.0
1.2020000000000008,-0.0,-1.045836331070929e-05,0.0
1.2040000000000008,-0.0,-1.041726472084635e-05,0.0
1.2060000000000008,-0.0,-1.037616613098688e-05,0.0
1.2080000000000009,-0.0,-1.0335067541125675e-05,0.0
1.2100000000000009,-0.0,-1.0293968951262736e-05,0.0
1.2120000000000009,-0.0,-1.0252870361401531e-05,0.0
1.2140000000000009,-0.0,-1.0211771771540326e-05,0.0
1.2160000000000009,-0.0,-1.0170673181679121e-05,0.0
1.2180000000000009,-0.0,-1.0129574591817916e-05,0.0
1.2200000000000009,-0.0,-1.0088456807855542e-05,0.0
1.2220000000000009,-0.0,-1.0047337104487561e-05,0.0
1.2240000000000009,-0.0,-1.000621740111611e-05,0.0
1.2260000000000009,-0.0,-9.965097697742925e-06,0.0
1.2280000000000009,-0.0,-9.923977994374944e-06,0.0
1.2300000000000009,-0.0,-9.882858291001759e-06,0.0
1.2320000000000009,-0.0,-9.841738587633778e-06,0.0
1.2340000000000009,-0.0,-9.800618884260592e-06,0.0
1.2360000000000009,-0.0,-9.759499180889142e-06,0.0
1.2380000000000009,-0.0,-9.718335881170673e-06,0.0
1.2400000000000009,-0.0,-9.677162893373739e-06,0.0
1.2420000000000009,-0.0,-9.635989905576806e-06,0.0
1.2440000000000009,-0.0,-9.594816917779872e-06,0.0
1.2460000000000009,-0.0,-9.553643929981204e-06,0.0
1.2480000000000009,-0.0,-9.51247094218427e-06,0.0
1.2500000000000009,-0.0,-9.471297954387337e-06,0.0
1.252000000000001,-0.0,-9.430124966588668e-06,0.0
1.254000000000001,-0.0,-9.388951978791735e-06,0.0
1.256000000000001,-0.0,-9.347744419829426e-06,0.0
1.258000000000001,-0.0,-9.306523896683572e-06,0.0
1.260000000000001,-0.0,-9.265303373534248e-06,0.0
1.262000000000001,-0.0,-9.224082850384924e-06,0.0
1.264000000000001,-0.0,-9.182862327237334e-06,0.0
1.266000000000001,-0.0,-9.141641804086276e-06,0.0
1.268000000000001,-0.0,-9.100421280938686e-06,0.0
1.270000000000001,-0.0,-9.059200757789362e-06,0.0
1.272000000000001,-0.0,-9.017980234640038e-06,0.0
1.274000000000001,-3.2401402876278963e-13,-8.976736478762473e-06,9.143013143996855e-19
1.276000000000001,-8.331789311028789e-13,-8.935479447035738e-06,2.3510605227379925e-18
1.278000000000001,-1.342343833442968e-12,-8.894222415310737e-06,3.787819731076299e-18
1.280000000000001,-1.851508735783057e-12,-8.852965383582267e-06,5.224578939414606e-18
1.282000000000001,-2.360673638123146e-12,-8.811708351855532e-06,6.661338147752913e-18
1.284000000000001,-2.8698385404632354e-12,-8.770451320130532e-06,8.09809735609122e-18
1.286000000000001,-3.3790034428033243e-12,-8.729194288403797e-06,9.534856564429526e-18
1.288000000000001,-3.888168345143413e-12,-8.687937256677061e-06,1.0971615772767833e-17
1.290000000000001,-4.3973332474835026e-12,-8.64668022495206e-06,1.240837498110614e-17
1.292000000000001,-4.351045529087965e-12,-8.605401371007682e-06,1.2277760507618063e-17
1.294000000000001,-3.8418806267478825e-12,-8.56410433188251e-06,1.0841001299279775e-17
1.296000000000001,-3.3327157244078004e-12,-8.522807292755605e-06,9.404242090941487e-18
1.298000000000001,-2.8235508220677167e-12,-8.481510253626964e-06,7.967482882603195e-18
1.300000000000001,-2.314385919727634e-12,-8.440213214501793e-06,6.530723674264907e-18
1.302000000000001,-1.8052210173875514e-12,-8.398916175374888e-06,5.093964465926619e-18
1.304000000000001,-1.2960561150474683e-12,-8.357619136249717e-06,3.657205257588329e-18
1.306000000000001,-7.868912127073853e-13,-8.316322097121076e-06,2.2204460492500396e-18
1.308000000000001,-2.777263103673027e-13,-8.275025057995905e-06,7.836868409117512e-19
1.310000000000001,-3.4715788795917056e-13,-8.233705225393559e-06,9.79608551139808e-19
1.312000000000001,-1.1109052414692947e-12,-8.192358040622072e-06,3.1347473636472413e-18
1.314000000000001,-1.874652594979419e-12,-8.151010855850585e-06,5.289886176154675e-18
1.316000000000001,-2.6383999484895437e-12,-8.109663671077363e-06,7.445024988662109e-18
1.318000000000001,-3.4021473019996676e-12,-8.068316486305877e-06,9.600163801169542e-18
1.320000000000001,-4.165894655509792e-12,-8.02696930153439e-06,1.1755302613676977e-17
1.322000000000001,-4.929642009019916e-12,-7.985622116761168e-06,1.391044142618441e-17
1.324000000000001,-5.693389362530041e-12,-7.944274931989681e-06,1.6065580238691843e-17
1.326000000000001,-6.457136716040165e-12,-7.902927747218194e-06,1.8220719051199278e-17
1.328000000000001,-6.665431448817038e-12,-7.861564775651225e-06,1.880848418188703e-17
1.330000000000001,-5.901684095306904e-12,-7.820174177199102e-06,1.665334536937957e-17
1.332000000000001,-5.137936741796771e-12,-7.778783578741774e-06,1.449820655687211e-17
1.334000000000001,-4.374189388286637e-12,-7.737392980286181e-06,1.2343067744364649e-17
1.336000000000001,-3.6104420347765027e-12,-7.696002381830588e-06,1.0187928931857188e-17
1.338000000000001,-2.8466946812663695e-12,-7.654611783374995e-06,8.032790119349729e-18
1.340000000000001,-2.0829473277562355e-12,-7.613221184921137e-06,5.877651306842268e-18
1.342000000000001,-1.3191999742461019e-12,-7.57183058646381e-06,3.722512494334808e-18
1.344000000000001,-5.554526207359684e-13,-7.530439988008217e-06,1.5673736818273481e-18
1.346000000000001,-0.0,-7.489034161088301e-06,0.0
1.348000000000001,-0.0,-7.447587724923252e-06,0.0
1.350000000000001,-0.0,-7.406141288759938e-06,0.0
1.352000000000001,-0.0,-7.3646948525948885e-06,0.0
1.354000000000001,-0.0,-7.3232484164298395e-06,0.0
1.356000000000001,-0.0,-7.281801980266525e-06,0.0
1.358000000000001,-0.0,-7.240355544101476e-06,0.0
1.360000000000001,-0.0,-7.198909107936427e-06,0.0
1.362000000000001,-0.0,-7.157462671771378e-06,0.0
