signal_GHz,pump_14.60GHz_gain_dB,pump_14.70GHz_gain_dB,pump_14.80GHz_gain_dB,pump_14.90GHz_gain_dB,pump_15.00GHz_gain_dB,pump_15.10GHz_gain_dB,pump_15.20GHz_gain_dB,pump_15.30GHz_gain_dB,pump_15.40GHz_gain_dB,pump_15.50GHz_gain_dB,pump_15.60GHz_gain_dB,pump_15.70GHz_gain_dB,pump_15.80GHz_gain_dB,pump_15.90GHz_gain_dB,pump_16.00GHz_gain_dB,pump_16.10GHz_gain_dB,pump_16.20GHz_gain_dB,pump_16.30GHz_gain_dB,pump_16.40GHz_gain_dB,pump_16.50GHz_gain_dB,pump_16.60GHz_gain_dB,pump_16.70GHz_gain_dB,pump_16.80GHz_gain_dB,pump_16.90GHz_gain_dB,pump_17.00GHz_gain_dB,pump_17.10GHz_gain_dB,pump_17.20GHz_gain_dB,pump_17.30GHz_gain_dB,pump_17.40GHz_gain_dB,pump_17.50GHz_gain_dB,pump_17.60GHz_gain_dB,pump_17.70GHz_gain_dB,pump_17.80GHz_gain_dB,pump_17.90GHz_gain_dB,pump_18.00GHz_gain_dB,pump_18.10GHz_gain_dB,pump_18.20GHz_gain_dB,pump_18.30GHz_gain_dB,pump_18.40GHz_gain_dB,pump_18.50GHz_gain_dB,pump_18.60GHz_gain_dB,pump_18.70GHz_gain_dB,pump_18.80GHz_gain_dB,pump_18.90GHz_gain_dB,pump_19.00GHz_gain_dB,pump_19.10GHz_gain_dB,pump_19.20GHz_gain_dB,pump_19.30GHz_gain_dB,pump_19.40GHz_gain_dB,pump_19.50GHz_gain_dB,pump_19.60GHz_gain_dB
6.25,0.0616866388025,0.205180518222,0.522097337345,0.91056455993,1.41717965659,0.00232536784988,3.45648168592,8.42926358365,22.684730272,28.2135791876,31.1785813703,32.2541601934,32.5790086785,32.499532357,32.2597780419,31.9813073733,31.6959992391,31.4403869537,31.2108774053,31.0137544613,30.8442804138,30.6976112207,30.5720913787,30.4594610783,30.3600632981,30.2659971778,30.1781564515,30.0902770162,30.0033112714,29.9133240821,29.8211349495,29.7244808372,29.6237217643,29.5173267522,29.4038727174,29.2810806645,29.1435042842,28.9853206732,28.7943136133,28.5591399114,28.2604593046,27.8850108902,27.4147202519,26.8505319596,26.2032739398,0.00566971296257,0.00575556918995,24.6773283562,25.1816173692,27.2333783703,28.8446897808
6.3,0.0578250664899,0.198779085522,0.51289266223,0.918736094246,1.46159575103,0.00112197284968,3.33248809523,9.25301881128,23.0864106343,28.4695403007,31.3249385466,32.336317015,32.6185186504,32.5172145562,32.2657588141,31.9828330599,31.6972817007,31.4438301593,31.2183927284,31.026006115,30.8620806921,30.7209433296,30.6011105298,30.4938519364,30.3994781423,30.3097837324,30.2256971445,30.1409273537,30.0563234755,29.9682428403,29.8774269416,29.7824511179,29.6838620081,29.5813128741,29.4743178567,29.3619301335,29.2403823424,29.1050034196,28.9455397304,28.750703809,28.5008303863,28.1797353027,27.7631664506,27.2422465335,26.6106133076,25.901048074,0.000667635425666,24.6113686393,24.4997050178,25.4426643896,28.2918971335
6.35,0.0543795062558,0.192778438269,0.503784509768,0.924757129418,1.50008908115,0.0122173880752,3.19570910353,9.99532509409,23.4527168382,28.7034864787,31.4582713072,32.4112798465,32.6550584347,32.5342434809,32.2725947037,31.9859737541,31.7005544672,31.4493707721,31.2279232887,31.040112596,30.8814719857,30.745552644,30.6309633378,30.5285644544,30.4385250826,30.3525276729,30.2713010761,30.1885188471,30.1049076845,30.0169865979,29.9256227032,29.8297493146,29.7304616888,29.6282275199,29.523739957,29.4170979757,29.3065817031,29.1888227714,29.0557860196,28.8969935873,28.693840183,28.4279020296,28.0712043882,27.606863914,27.0150409333,26.3101135431,0.00369095532972,0.00654995672969,24.2942253666,24.5017424127,26.2574890326
6.4,0.0509779423458,0.186639786874,0.494036708808,0.929177228145,1.53568209102,0.0353029632098,3.03810484163,10.7067414585,23.8072832028,28.9286003611,31.5854744633,32.4822877555,32.689460583,32.5504081482,32.2794882485,31.9897497165,31.7049814527,31.4563722403,31.2391773142,31.0560977396,30.9028122119,30.7720774137,30.6626526288,30.5648502565,30.4788786567,30.3960417909,30.3168305725,30.2349997954,30.1509922057,30.0615337626,29.9673787123,29.8679379655,29.764704333,29.6589962699,29.552656849,29.4471159407,29.3428044966,29.238058057,29.1278743655,29.0032809531,28.8481808587,28.6431046125,28.3588472558,27.9710295121,27.4495963594,26.7907237268,26.0035323004,0.000184833775212,24.4036229994,24.0348864812,24.6491242662
6.45,0.0479776541078,0.180990709648,0.484600557983,0.93195430324,1.56611819652,0.0675237445,2.87235316193,11.3476290677,24.1308204691,29.1342269411,31.70188034,32.5475446064,32.7217837983,32.566453194,32.2874310883,31.9951590913,31.7112911831,31.4652899172,31.2522197351,31.0736540669,30.925415252,30.7995501955,30.6948211256,30.6011294706,30.5185186715,30.4380260787,30.35996763,30.2779856716,30.1922028904,30.0994508969,30.0003291867,29.8947757809,29.7843634686,29.6713516496,29.558530133,29.4486334272,29.3442289516,29.2454410598,29.1506065405,29.0524578488,28.9384924524,28.7893440237,28.576104032,28.2692960349,27.830792647,27.2417919267,26.4902926528,0.00138362730121,0.00554025770111,24.008418743,23.9139723419
6.5,0.0450362998538,0.175237753023,0.474663581806,0.933376156197,1.59388880874,0.110005557649,2.68898027422,11.9640740579,24.4437634404,29.3326477194,31.8132040469,32.609610201,32.7525505292,32.5819917164,32.2956835746,32.0013695187,31.718749815,31.4756683191,31.2668765518,31.0929324114,30.9497888154,30.828674849,30.7285105626,30.6385961706,30.5588851646,30.4802099385,30.4023808426,30.3190268032,30.2297631636,30.1317027931,30.0250049778,29.9100310175,29.7884671523,29.6633046421,29.538537542,29.4177175853,29.3062456518,29.2056843867,29.1184850599,29.0397488054,28.9619083941,28.8669675897,28.7291109065,28.5151514275,28.1821583473,27.6973784556,27.0291678688,26.1916324639,4.09549975311e-07,24.2963387932,23.6690576984
6.55,0.042474754202,0.170064980939,0.465361827441,0.933631612107,1.61710484403,0.157998473841,2.50398058694,12.5174223826,24.7282408335,29.5134424792,31.9150288512,32.6670635098,32.7819316535,32.5978493672,32.3051895357,32.0093161107,31.7280653885,31.4877775715,31.283100779,31.113520954,30.9750814537,30.8584390418,30.7623068483,30.6757713336,30.5983632761,30.5206894622,30.4421190531,30.356224366,30.2622091261,30.1571105453,30.0406770074,29.9137424865,29.7777526052,29.6364952666,29.4945870874,29.3572218333,29.2311499071,29.1204173616,29.0316889309,28.9616412604,28.9086877606,28.8569241294,28.7856974343,28.6597611553,28.4344284137,28.0653246128,27.5051467208,26.7430591157,6.71372172005e-05,0.00323429278176,23.8225490338
6.6,0.0399585824188,0.164828495301,0.455632283778,0.932772894631,1.6379804613,0.21428216972,2.30417097358,13.0508301066,25.0047951338,29.6881233863,32.0129548967,32.7220621763,32.810215332,32.6134617722,32.3151224123,32.0180699422,31.7384996323,31.5012881703,31.3008341846,31.1356825329,31.0020152615,30.8896180553,30.7974391413,30.7137450194,30.6381137419,30.5607229384,30.4804869404,30.3908225923,30.2900997047,30.1756561964,30.0465439752,29.9037596661,29.7486135308,29.5857340419,29.4202404081,29.2580856673,29.1087953735,28.9776911306,28.8753732547,28.8020228884,28.7625854829,28.7440575129,28.7332565786,28.6957800438,28.5894676803,28.3601617525,27.9484665308,27.3175257152,26.4484542706,0.000234603761844,24.2870257413
6.65,0.0378178084384,0.160197863593,0.446789024453,0.931199400843,1.65508592051,0.272273113471,2.10937946692,13.5262545885,25.2550264002,29.8468084224,32.1026212762,32.7732947555,32.8376703775,32.6297167034,32.3264724625,32.0285305241,31.7507055285,31.5163719835,31.3199324973,31.1589458202,31.0295468986,30.9211815102,30.8323178327,30.7512266309,30.6767336329,30.5989388363,30.5160951477,30.4214786202,30.3128472411,30.1874026531,30.0434787755,29.8825987973,29.705348682,29.5167747421,29.3223974827,29.1299572283,28.9494150599,28.7886615518,28.6629472694,28.5737585206,28.533273912,28.5312660474,28.5652648645,28.6009898596,28.6037044495,28.5122622603,28.2597903508,27.7859036308,27.0438251501,0.000517079282648,0.000950847332317
6.7,0.0357175410466,0.155533888962,0.437673073079,0.928723544638,1.67024466399,0.336213834487,1.90422993635,13.9867060792,25.4979748295,30.0006272993,32.1889971911,32.8226783254,32.8643936839,32.6459757576,32.3383443142,32.0398877375,31.764029835,31.532796495,31.3404291208,31.1835955284,31.0585875904,30.9539458482,30.8683382856,30.7892188136,30.7152946722,30.6363184404,30.5497836019,30.4488735995,30.3303099063,30.1913978741,30.0295133679,29.8460916367,29.6414782961,29.4208382337,29.1910954336,28.9581373949,28.7371244367,28.534237475,28.3700840073,28.2486647607,28.1898541575,28.187597872,28.2482241143,28.3439916204,28.4499159824,28.5030098324,28.4354933659,28.1651319672,27.6183241405,26.7707974392,0.000773292229888
6.75,0.0339746104521,0.151508969252,0.42953787053,0.925944104144,1.68229958954,0.398919129544,1.71099355037,14.3955735458,25.7164578795,30.1401452737,32.2683022795,32.8690782677,32.890732776,32.663081159,32.3516992183,32.052915993,31.7789744202,31.5506414849,31.3621136499,31.2091474426,31.088043186,30.9868425065,30.903905694,30.8264862382,30.7526253678,30.6717730703,30.5807450465,30.4725034721,30.3428330852,30.1889221668,30.007135423,29.7991668671,29.5645149737,29.3086017219,29.0375570642,28.7599210676,28.4897256464,28.2361457194,28.0238523331,27.8570314689,27.7642233129,27.740952344,27.8080042445,27.9389623611,28.1255455832,28.3038454202,28.4125356815,28.3527570627,28.0300046501,27.3779200527,0.0025579378663
6.8,0.0322644901032,0.147467902268,0.421220039844,0.922479710437,1.69278944269,0.46591101904,1.51306363914,14.792332007,25.92924338,30.2752894074,32.3450617213,32.9140447885,32.9166242974,32.6803655502,32.3656832296,32.0668417725,31.7950367649,31.5697449926,31.3850775782,31.2359703497,31.1187844133,31.0207981702,30.9404025694,30.8640762109,30.7896250491,30.7060865909,30.6094281876,30.4923417461,30.3495176242,30.1779600116,29.9730000228,29.7357774948,29.4654852686,29.1673857598,28.8481000059,28.5151729699,28.1853948723,27.8680706755,27.589582418,27.3591598317,27.2105149187,27.1441772529,27.1903132323,27.3308067921,27.5723542475,27.8589426879,28.1424798433,28.3152035514,28.2702242239,27.896804206,27.1247583534
