gamma_dB,dG_dB_eta_1,dG_dB_eta_0.5
-11.5037593985,nan,nan
-11.4786967419,nan,nan
-11.4536340852,nan,nan
-11.4285714286,nan,nan
-11.4035087719,nan,nan
-11.3784461153,nan,nan
-11.3533834586,nan,nan
-11.328320802,nan,nan
-11.3032581454,nan,nan
-11.2781954887,nan,nan
-11.2531328321,nan,nan
-11.2280701754,nan,nan
-11.2030075188,nan,nan
-11.1779448622,nan,nan
-11.1528822055,nan,nan
-11.1278195489,nan,nan
-11.1027568922,nan,nan
-11.0776942356,nan,nan
-11.0526315789,nan,nan
-11.0275689223,nan,nan
-11.0025062657,nan,nan
-10.977443609,nan,nan
-10.9523809524,nan,nan
-10.9273182957,nan,nan
-10.9022556391,nan,nan
-10.8771929825,nan,nan
-10.8521303258,nan,nan
-10.8270676692,nan,nan
-10.8020050125,nan,nan
-10.7769423559,nan,nan
-10.7518796992,nan,nan
-10.7268170426,nan,nan
-10.701754386,nan,nan
-10.6766917293,nan,nan
-10.6516290727,nan,nan
-10.626566416,nan,nan
-10.6015037594,nan,nan
-10.5764411028,nan,nan
-10.5513784461,nan,nan
-10.5263157895,nan,nan
-10.5012531328,nan,nan
-10.4761904762,nan,nan
-10.4511278195,nan,nan
-10.4260651629,nan,nan
-10.4010025063,nan,nan
-10.3759398496,nan,nan
-10.350877193,nan,nan
-10.3258145363,nan,nan
-10.3007518797,nan,nan
-10.2756892231,nan,nan
-10.2506265664,nan,nan
-10.2255639098,nan,nan
-10.2005012531,nan,nan
-10.1754385965,nan,nan
-10.1503759398,nan,nan
-10.1253132832,nan,nan
-10.1002506266,nan,nan
-10.0751879699,nan,nan
-10.0501253133,nan,nan
-10.0250626566,nan,nan
-10,nan,nan
