signal_GHz,our_gain_dB,our_gamma_mag
10.95,0.0832928847805,0.123337967945
11,0.432225492819,0.131832186174
11.05,0.388807882402,0.142185985921
11.1,0.0313822542631,0.152539890159
11.15,0.180430590053,0.165470736045
11.2,0.295730545625,0.178401682688
11.25,4.52423790136e-05,0.195081887194
11.3,0.216915508359,0.211762191301
11.35,0.00502922507179,0.234282052634
11.4,0.168833462358,0.256802022169
11.45,0.066407799956,0.289431114807
11.5,3.08297656747e-05,0.322060320098
