freq_GHz,S21_db_engineered,k_star_engineered_rad
1.324,-5.83053737479e-05,-2.16055855144e-05
1.326,-5.78529817531e-05,-2.15071266988e-05
1.328,-5.73787555639e-05,-2.14086303286e-05
1.33,-5.68663195343e-05,-2.13100682379e-05
1.332,-5.63538835048e-05,-2.12115061472e-05
1.334,-5.58414474752e-05,-2.11129440565e-05
1.336,-5.53290114457e-05,-2.10143819659e-05
1.338,-5.48165754162e-05,-2.09158198752e-05
1.34,-5.43041393866e-05,-2.08172577845e-05
1.342,-5.37917033571e-05,-2.07186956938e-05
1.344,-5.32792673275e-05,-2.06201336031e-05
1.346,-5.27522608732e-05,-2.05215428746e-05
1.348,-5.21863999525e-05,-2.04228757782e-05
1.35,-5.16205390319e-05,-2.03242086819e-05
1.352,-5.10546781112e-05,-2.02255415855e-05
1.354,-5.04888171906e-05,-2.01268744892e-05
1.356,-4.99229562699e-05,-2.00282073929e-05
1.358,-4.93570953493e-05,-1.99295402965e-05
1.36,-4.87912344286e-05,-1.98308732002e-05
1.362,-4.8225373508e-05,-1.97322061039e-05
1.364,-4.7651025225e-05,-1.96335196031e-05
1.366,-4.70384838114e-05,-1.95347457823e-05
1.368,-4.64259423978e-05,-1.94359719616e-05
1.37,-4.58134009843e-05,-1.93371981408e-05
1.372,-4.52008595707e-05,-1.92384243201e-05
1.374,-4.45883181571e-05,-1.91396504993e-05
1.376,-4.39757767436e-05,-1.90408766785e-05
1.378,-4.336323533e-05,-1.89421028578e-05
1.38,-4.27506939164e-05,-1.8843329037e-05
1.382,-4.21345316461e-05,-1.87445453588e-05
1.384,-4.14821608078e-05,-1.86456631058e-05
1.386,-4.08297899696e-05,-1.85467808529e-05
1.388,-4.01774191314e-05,-1.84478985999e-05
1.39,-3.95250482931e-05,-1.83490163469e-05
1.392,-3.88726774549e-05,-1.82501340939e-05
1.394,-3.82203066166e-05,-1.81512518409e-05
1.396,-3.75679357784e-05,-1.8052369588e-05
1.398,-3.69155649402e-05,-1.7953487335e-05
1.4,-3.62631941019e-05,-1.7854605082e-05
1.402,-3.55779179724e-05,-1.77556126993e-05
1.404,-3.48926418429e-05,-1.76566203166e-05
1.406,-3.42073657134e-05,-1.75576279339e-05
1.408,-3.35220895839e-05,-1.74586355512e-05
1.41,-3.28368134545e-05,-1.73596431685e-05
1.412,-3.2151537325e-05,-1.72606507858e-05
1.414,-3.14662611955e-05,-1.71616584031e-05
1.416,-3.0780985066e-05,-1.70626660204e-05
1.418,-3.00957089365e-05,-1.69636736377e-05
1.42,-2.93868614804e-05,-1.68645796026e-05
1.422,-2.86756568916e-05,-1.67654754023e-05
1.424,-2.79644523029e-05,-1.66663712019e-05
1.426,-2.72532477141e-05,-1.65672670016e-05
1.428,-2.65420431254e-05,-1.64681628013e-05
1.43,-2.58308385366e-05,-1.63690586009e-05
1.432,-2.51196339479e-05,-1.62699544006e-05
1.434,-2.44084293591e-05,-1.61708502003e-05
1.436,-2.36972247704e-05,-1.60717459999e-05
1.438,-2.29705309684e-05,-1.59725489387e-05
1.44,-2.2240395119e-05,-1.58733312418e-05
1.442,-2.15102592696e-05,-1.57741135449e-05
1.444,-2.07801234202e-05,-1.56748958479e-05
1.446,-2.00499875708e-05,-1.5575678151e-05
1.448,-1.93198517214e-05,-1.5476460454e-05
1.45,-1.8589715872e-05,-1.53772427571e-05
1.452,-1.78595800226e-05,-1.52780250602e-05
1.454,-1.71294441732e-05,-1.51788073632e-05
1.456,-1.63906280803e-05,-1.50795059083e-05
1.458,-1.56485568959e-05,-1.49801730442e-05
1.46,-1.49064857116e-05,-1.48808401801e-05
1.462,-1.41644145273e-05,-1.47815073159e-05
1.464,-1.3422343343e-05,-1.46821744518e-05
1.466,-1.26802721586e-05,-1.45828415877e-05
1.468,-1.19382009743e-05,-1.44835087235e-05
