pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite
13.14,0.00033999999999999997,0.00035,"[4.0, 8.0]",7.378022895814861,4.499999999999998,4.992174666017375,4.820215776421277,4.813822219076849,0.9000252120148741,0.0,0.0,0.0,"[(4.0, 7.299999999999988)]",3.399999999999988,True
13.16,0.00033999999999999997,0.00035,"[4.0, 8.0]",5.053996107751681,4.299999999999999,3.5409897029774324,3.2958714777632037,3.3543196350396434,0.7631470461856372,0.0,0.0,0.0,"[(4.0, 7.899999999999986)]",3.999999999999986,True
13.1,0.00035,0.00033,"[4.0, 8.0]",40.99349090439708,7.399999999999988,20.66297166295886,24.110125942488434,42.256064853708786,15.031315857653073,0.5853658536585366,0.5853658536585366,0.5365853658536586,"[(6.199999999999992, 6.199999999999992), (6.499999999999991, 6.499999999999991), (7.399999999999988, 7.399999999999988)]",0.29999999999999893,True
13.12,0.00035,0.00033,"[4.0, 8.0]",40.92617393561467,7.899999999999986,27.205219517982442,30.603900826102375,40.71225839243055,12.156977091160808,0.8048780487804879,0.8048780487804879,0.7804878048780488,"[(7.099999999999989, 7.399999999999988), (7.7999999999999865, 7.899999999999986)]",0.5999999999999979,True
13.14,0.00035,0.00033,"[4.0, 8.0]",6.295804223489042,4.399999999999999,4.096992983500751,3.8528888790390714,4.398149007605365,0.8731587725946175,0.0,0.0,0.0,"[(4.0, 6.69999999999999), (6.999999999999989, 7.299999999999988), (7.599999999999987, 7.899999999999986)]",3.599999999999987,True
13.16,0.00035,0.00033,"[4.0, 8.0]",4.338825758369113,4.299999999999999,2.886948737710129,2.8158197037069446,2.993240537875777,0.7831177602892843,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.099999999999985,True
13.1,0.00035,0.00033999999999999997,"[4.0, 8.0]",26.133586753524206,6.499999999999991,7.591798617414891,4.833632873726301,38.27357627887248,9.6490214754656,0.3170731707317073,0.2682926829268293,0.14634146341463414,"[(6.299999999999992, 6.299999999999992), (6.499999999999991, 6.499999999999991)]",0.1999999999999993,True
13.12,0.00035,0.00033999999999999997,"[4.0, 8.0]",40.770315601121425,7.299999999999988,24.552370334102022,30.752718239371653,41.33749635910029,14.485980304388914,0.7073170731707317,0.6829268292682927,0.6585365853658537,"[(5.899999999999993, 5.999999999999993), (6.199999999999992, 6.199999999999992), (6.999999999999989, 7.399999999999988)]",0.7999999999999972,True
13.14,0.00035,0.00033999999999999997,"[4.0, 8.0]",6.965502509927909,4.499999999999998,4.6681204715444755,4.477424730692662,4.606501319476569,0.8622895038052867,0.0,0.0,0.0,"[(4.0, 7.299999999999988), (7.7999999999999865, 7.7999999999999865)]",3.4999999999999876,True
13.16,0.00035,0.00033999999999999997,"[4.0, 8.0]",4.765306794299132,4.299999999999999,3.2925759262691594,3.0886254645064493,3.2643679598415742,0.756171376572859,0.0,0.0,0.0,"[(4.0, 7.899999999999986)]",3.999999999999986,True
13.1,0.00035,0.00035,"[4.0, 8.0]",3.279230975301459,6.3999999999999915,0.18180246139053183,0.4133136211130539,12.788826170832948,2.764205499727771,0.0,0.0,0.0,"[(4.0, 4.0), (4.399999999999999, 4.799999999999997), (5.599999999999994, 7.099999999999989), (7.899999999999986, 7.999999999999986)]",2.3999999999999915,True
13.12,0.00035,0.00035,"[4.0, 8.0]",31.544699686860078,6.3999999999999915,14.259936678332748,14.121049291108603,34.455883481789726,11.632822045660125,0.4878048780487805,0.43902439024390244,0.36585365853658536,"[(6.199999999999992, 6.89999999999999)]",0.7999999999999972,True
13.14,0.00035,0.00035,"[4.0, 8.0]",7.5292167326336115,4.499999999999998,5.1853491960379126,5.129759213840007,4.562414088093739,0.8830480462842736,0.0,0.0,0.0,"[(4.0, 7.299999999999988)]",3.399999999999988,True
13.16,0.00035,0.00035,"[4.0, 8.0]",5.139532574486255,4.399999999999999,3.6834355604157523,3.5212483026311867,3.497119024061189,0.7387881872904903,0.0,0.0,0.0,"[(4.0, 7.899999999999986)]",3.999999999999986,True
