pump_GHz,signal_GHz,gain_db
10.3,7.600000000000005,6.471133916128762
10.3,7.700000000000005,8.921439851394723
10.3,7.800000000000005,11.603583901079277
10.3,7.900000000000006,14.485091327831068
10.3,8.000000000000005,17.542819488843882
10.3,8.100000000000005,20.766781836417813
10.3,8.200000000000006,24.164506204322507
10.3,8.300000000000006,27.72470588223033
10.3,8.400000000000006,31.439901360473502
10.3,8.500000000000005,35.273353521555386
10.3,8.600000000000005,39.11187162255115
10.3,8.700000000000006,42.62974663089207
10.3,8.800000000000006,45.05078686002789
10.3,8.900000000000006,45.217182205311474
10.3,9.000000000000007,42.66481533665444
10.3,9.100000000000007,38.18564844697744
10.3,9.200000000000006,32.66355544841878
10.3,9.300000000000006,26.504122533005532
10.3,9.400000000000006,19.80826635529299
10.3,9.500000000000007,12.608031468229118
10.3,9.600000000000007,5.241481633011861
10.3,9.700000000000006,0.1672983426108894
10.3,9.800000000000008,3.389693912590933
10.3,9.900000000000007,13.576769188340041
10.3,10.000000000000007,26.78608566530512
10.4,2.0,3.393362734667123
10.4,2.1,1.7089998143842178
10.4,2.2,0.5732576718342699
10.4,2.3000000000000003,0.04293438973431964
10.4,2.4000000000000004,0.10297505028218948
10.4,2.5000000000000004,0.6595105791251945
10.4,2.6000000000000005,1.5778473347356845
10.4,2.7000000000000006,2.7224930576365374
10.4,2.8000000000000007,3.992453669422153
10.4,2.900000000000001,5.306749591612356
10.4,3.000000000000001,6.621096095869326
10.4,3.100000000000001,7.899616256838752
10.4,3.200000000000001,9.126957785358629
10.4,3.300000000000001,10.29061384537364
10.4,3.4000000000000012,11.378145998044872
10.4,3.5000000000000013,12.392658678426764
10.4,3.6000000000000014,13.331978884917671
10.4,3.7000000000000015,14.182956519730123
10.4,3.8000000000000016,14.96035996066745
10.4,3.9000000000000017,15.664849318204697
10.4,4.000000000000002,16.284305190782877
10.4,4.100000000000001,16.828903139952867
10.4,4.200000000000002,17.298207361315626
10.4,4.3000000000000025,17.686127049383373
10.4,4.400000000000002,17.99168287843919
10.4,4.500000000000002,18.23150694757446
10.4,4.600000000000002,18.387749189561763
10.4,4.700000000000003,18.469948629032604
10.4,4.8000000000000025,18.481747781346193
10.4,4.900000000000002,18.414774738424395
10.4,5.000000000000003,18.268437385259716
10.4,5.100000000000003,18.045662677412253
10.4,5.200000000000003,17.755189456688672
10.4,5.3000000000000025,17.38505477865725
10.4,5.400000000000003,16.936018898621242
10.4,5.5000000000000036,16.416847534100967
10.4,5.600000000000003,15.820879339168775
10.4,5.700000000000003,15.150836128180307
10.4,5.800000000000003,14.396785726706828
10.4,5.900000000000004,13.571697202803207
10.4,6.0000000000000036,12.680346067284354
10.4,6.100000000000003,11.69938205062266
10.4,6.200000000000004,10.658012522778746
10.4,6.300000000000004,9.539009461293732
10.4,6.400000000000004,8.355614723139777
10.4,6.5000000000000036,7.1307619853366075
10.4,6.600000000000004,5.854734728097118
10.4,6.700000000000005,4.578273771496239
10.4,6.800000000000004,3.3102495163926964
10.4,6.900000000000004,2.1311235352115894
10.4,7.000000000000004,1.111056059257338
10.4,7.100000000000005,0.36182986620507174
10.4,7.200000000000005,0.011505388674894347
10.4,7.300000000000004,0.1726439731822146
10.4,7.400000000000005,0.9018925563126806
10.4,7.500000000000005,2.1721133033698288
10.4,7.600000000000005,3.9180310182875475
10.4,7.700000000000005,6.045598900621236
10.4,7.800000000000005,8.469567981771279
10.4,7.900000000000006,11.137039708583455
10.4,8.000000000000005,14.001781585336158
10.4,8.100000000000005,17.0427247285481
10.4,8.200000000000006,20.262860089863572
10.4,8.300000000000006,23.650337840585493
10.4,8.400000000000006,27.199220325807254
10.4,8.500000000000005,30.906152853387102
10.4,8.600000000000005,34.736297706907266
10.4,8.700000000000006,38.5950348441119
10.4,8.800000000000006,42.183754618050415
10.4,8.900000000000006,44.79803725137898
10.4,9.000000000000007,45.276746317318405
10.4,9.100000000000007,43.00817996302543
10.4,9.200000000000006,38.68781366151959
10.4,9.300000000000006,33.243165447629565
10.4,9.400000000000006,27.129166956936103
10.4,9.500000000000007,20.467609157518396
10.4,9.600000000000007,13.28738741406923
10.4,9.700000000000006,5.861333764590183
10.4,9.800000000000008,0.3466190944844758
10.4,9.900000000000007,2.8202653099995096
10.4,10.000000000000007,12.775642013935366
10.5,2.0,3.0120988584039314
10.5,2.1,1.422246172698351
10.5,2.2,0.4023749576844464
10.5,2.3000000000000003,0.006439943832761219
10.5,2.4000000000000004,0.20183249321013644
10.5,2.5000000000000004,0.8780869617170507
10.5,2.6000000000000005,1.8893916489223086
10.5,2.7000000000000006,3.107150437801237
10.5,2.8000000000000007,4.425598203332874
10.5,2.900000000000001,5.778046109958689
10.5,3.000000000000001,7.119099249046615
10.5,3.100000000000001,8.42005834475881
10.5,3.200000000000001,9.662994616835848
10.5,3.300000000000001,10.835904928290399
10.5,3.4000000000000012,11.94497837773256
10.5,3.5000000000000013,12.975705862774092
10.5,3.6000000000000014,13.92291323785767
10.5,3.7000000000000015,14.802286832059725
10.5,3.8000000000000016,15.588420411942135
10.5,3.9000000000000017,16.30324835103178
10.5,4.000000000000002,16.947611863530547
10.5,4.100000000000001,17.515493362681966
10.5,4.200000000000002,18.01283294789718
10.5,4.3000000000000025,18.41763210460407
10.5,4.400000000000002,18.75090358199358
10.5,4.500000000000002,19.016208011751022
10.5,4.600000000000002,19.200607753637694
