unloaded_cells_each_side,loaded_cells,supercells,pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite
13,3,1407,12.949999999999998,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.8393516981072624,4.0,0.1664200359925041,0.0849244509737241,0.8392975157168675,0.23018805245332857,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.959999999999997,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.7584935639927243,4.0,0.21250827726139726,0.2041955644482214,0.7584897777849339,0.17268529592948936,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.969999999999997,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.568406223596922,6.499999999999991,0.33317560954706166,0.3712318186889578,0.5684050721444736,0.1909606187870787,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.979999999999997,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.7305660924055392,6.499999999999991,0.4824615440877404,0.5794940749957155,0.7299584967671395,0.24635770910406163,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.989999999999997,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.7439151796184356,7.149999999999989,0.5775437223810417,0.7219665593858131,0.7434441188070497,0.2444489136654804,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.999999999999996,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.7281071735117637,7.699999999999987,0.5852472941669675,0.642242900964926,0.7276532116867416,0.18913863339228684,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,13.009999999999996,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.711659943988546,4.899999999999997,0.5048328174476064,0.5013219992611,0.6205096880618362,0.14430572815000453,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,13.019999999999996,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.6921761854363548,4.549999999999998,0.3402064870661357,0.30346490126299963,0.5882207728466753,0.1974598718465395,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,13.029999999999996,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.6732598537785207,4.299999999999999,0.18601047151613687,0.0643882167356526,0.6732589246654379,0.23215035835861597,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,13.039999999999996,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.6562085138547836,4.05,0.13804722353695212,0.06586841500588363,0.6561594724044476,0.18996292848995472,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,13.049999999999995,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.5959466171880374,4.0,0.1946523165061467,0.19284675523279546,0.5956318576995296,0.1391151852251269,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,13.059999999999995,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.5439483007101957,6.549999999999991,0.3381070823333758,0.3768810766018072,0.5436404048325266,0.18048749940099204,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,13.069999999999995,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.5983928385306058,5.999999999999993,0.45220203603789494,0.5683256039967075,0.5981249892109082,0.20321424521062464,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,13.079999999999995,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.5827538153761378,5.299999999999995,0.4584697853496507,0.5021017418937721,0.5821211739409334,0.15506440249424397,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,13.089999999999995,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.5649318066466349,4.849999999999997,0.3535043186556793,0.3366732297085898,0.4717927366160176,0.12722976718262724,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,13.099999999999994,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.5443421566147321,4.399999999999999,0.17860043273733683,0.09225555780770277,0.5393040256468901,0.18566955878776004,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,13.109999999999994,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.5266367955912544,4.1,0.11558817671743622,0.04997707041666119,0.5265386688064672,0.16030044134879745,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,13.119999999999994,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.4751180557739714,4.0,0.1809701623629717,0.19176575366450221,0.47503192811631034,0.11587233221167438,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,13.129999999999994,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.48997879371702113,6.549999999999991,0.33353024339373954,0.4068455001048731,0.4899763239720084,0.16665471546592966,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,13.139999999999993,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.4802840946891535,5.449999999999995,0.3774305143639444,0.4355382614024237,0.4797679149549122,0.144405352068141,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,13.149999999999993,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.4625271587552211,4.849999999999997,0.284521630960825,0.26673391508975836,0.40999750304132837,0.10662296600083733,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,13.159999999999993,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.4410782130448019,4.349999999999999,0.11945073124450227,0.03464227512225126,0.4410782697415147,0.15379333184843186,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,13.169999999999993,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.42373087208501703,4.0,0.1129548823616625,0.095380668366621,0.42373055656127434,0.11002489461688741,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
