unloaded_cells_each_side,loaded_cells,period_cells,supercells,total_cells,length_mm,pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite
14,5,33,1236,40788,81.57600000000001,11.508484848484843,0.0003,0.00036,"[4.0, 8.0]",3.8639805815554733,7.999999999999986,0.9839120146662763,0.4598441864848639,3.852903460007316,1.1180518799513985,0.0,0.0,0.0,"[(4.0, 4.499999999999998), (6.999999999999989, 7.999999999999986)]",1.5999999999999943,True
14,5,33,1236,40788,81.57600000000001,11.518787878787872,0.0003,0.00036,"[4.0, 8.0]",2.9305642944663686,5.749999999999994,1.8051948223119305,2.109803113435842,2.9288880005656384,1.0004516222930195,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
14,5,33,1236,40788,81.57600000000001,11.529090909090902,0.0003,0.00036,"[4.0, 8.0]",3.6631949616332027,6.649999999999991,3.3463368534979243,3.586188232858358,2.5157625954310703,0.5479682585228904,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
14,5,33,1236,40788,81.57600000000001,11.539393939393932,0.0003,0.00036,"[4.0, 8.0]",3.3615251746238606,7.949999999999986,1.6230516377342192,1.392528171182811,2.788208491884189,0.9197458544296234,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
14,5,33,1236,40788,81.57600000000001,11.549696969696962,0.0003,0.00036,"[4.0, 8.0]",1.8308716391795143,7.999999999999986,0.5752380243658912,0.556394494956949,1.829495199045376,0.43367631242277,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
14,5,33,1236,40788,81.57600000000001,11.559999999999992,0.0003,0.00036,"[4.0, 8.0]",3.0713197348958756,5.799999999999994,2.5365253181697818,2.883024658129265,2.82981872134622,0.7216355282379209,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
14,5,33,1236,40788,81.57600000000001,11.570303030303021,0.0003,0.00036,"[4.0, 8.0]",2.834920591196287,7.649999999999987,2.0254551965427177,1.9886643133227968,1.5476300541164585,0.5527680096537523,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
14,5,33,1236,40788,81.57600000000001,11.580606060606051,0.0003,0.00036,"[4.0, 8.0]",1.8904809761686874,7.999999999999986,0.37715269025712533,0.3090143078648202,1.890378059692162,0.3912394240525743,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
14,5,33,1236,40788,81.57600000000001,11.590909090909081,0.0003,0.00036,"[4.0, 8.0]",2.5277949604617858,5.799999999999994,1.8854033958079734,2.2096956991189804,2.5169653374117402,0.7234751364617839,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
14,5,33,1236,40788,81.57600000000001,11.60121212121211,0.0003,0.00036,"[4.0, 8.0]",2.358188010530236,7.649999999999987,1.6133123507815896,1.5543736681214755,1.4144008229120293,0.5069628079740238,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
14,5,33,1236,40788,81.57600000000001,11.61151515151514,0.0003,0.00036,"[4.0, 8.0]",1.6071275205619495,7.999999999999986,0.3206274829075994,0.2569808864458481,1.606878169542482,0.3329371356971118,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
14,5,33,1236,40788,81.57600000000001,11.62181818181817,0.0003,0.00036,"[4.0, 8.0]",2.1461967710781438,6.3999999999999915,1.8256873068945816,2.0892521283694725,1.9116957756049429,0.47978213796312946,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
14,5,33,1236,40788,81.57600000000001,11.6321212121212,0.0003,0.00036,"[4.0, 8.0]",1.9538924196600584,7.849999999999986,0.9705867084057107,0.8316795288412184,1.6433992652081346,0.5682570553475667,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
14,5,33,1236,40788,81.57600000000001,11.64242424242423,0.0003,0.00036,"[4.0, 8.0]",1.2322000978399457,5.799999999999994,0.6530030236617943,0.6792825251347584,1.2314107475225997,0.44380392695535176,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
14,5,33,1236,40788,81.57600000000001,11.65272727272726,0.0003,0.00036,"[4.0, 8.0]",1.74239400510385,7.399999999999988,1.4334615216639577,1.452933115965111,0.6603765255592213,0.22982469865999272,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
14,5,33,1236,40788,81.57600000000001,11.66303030303029,0.0003,0.00036,"[4.0, 8.0]",1.0850903907557177,7.999999999999986,0.26346361721692896,0.2499663851884172,1.0850090602809122,0.2249629615606346,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
14,5,33,1236,40788,81.57600000000001,11.67333333333332,0.0003,0.00036,"[4.0, 8.0]",1.5552188919843248,4.799999999999997,1.371342220164812,1.4626183028800668,1.2051432194541891,0.2626091537702327,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
14,5,33,1236,40788,81.57600000000001,11.68363636363635,0.0003,0.00036,"[4.0, 8.0]",1.2575495262599425,7.999999999999986,0.23505158674340845,0.07343661727496995,1.2575322833110338,0.3254125860408197,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
14,5,33,1236,40788,81.57600000000001,11.69393939393938,0.0003,0.00036,"[4.0, 8.0]",1.3630726291460062,6.74999999999999,1.177142921243576,1.3054476480167536,1.162647525741492,0.2764572404074272,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
