pump_GHz,mean_abs_mismatch_rad_per_mm,minimum_mismatch_rad_per_mm,maximum_mismatch_rad_per_mm,peak_to_peak_mismatch_rad_per_mm
12.459999999999969,0.006920567541066745,-0.026467092909598477,0.005605173042091849,0.032072265951690326
12.479999999999968,0.00960456628939973,-0.016834036713461842,0.01560385196963665,0.03243788868309849
12.499999999999968,0.016997986987836354,-0.007200980517332312,0.025602530897181452,0.032803511414513764
12.519999999999968,0.023180024686816784,-0.0008336869739480335,0.03235830271801632,0.03319198969196435
12.539999999999967,0.029858129223354995,0.005533606569436245,0.039114074538851185,0.03358046796941494
12.559999999999967,0.03655331253131475,0.011900900112813417,0.0458698463596825,0.03396894624686908
12.579999999999966,0.04324498974714834,0.01826819365619059,0.05262561818051026,0.03435742452431967
12.599999999999966,0.049936666962982414,0.024635487199567763,0.05938139000133802,0.034745902801770256
12.619999999999965,0.054910880868464906,0.02926888401110972,0.06441422721723811,0.03514534320612839
12.639999999999965,0.05988509477394753,0.033902280822651676,0.0694470644331382,0.03554478361048652
12.659999999999965,0.0648557100981054,0.03853567763418653,0.07447990164903118,0.03594422401484465
12.679999999999964,0.06982272684095203,0.043169074445728484,0.07951273886493126,0.03634366441920278
12.699999999999964,0.07478974358379184,0.04780247125725623,0.08454557608082425,0.03674310482356802
12.719999999999963,0.07873071879738455,0.05139257685129195,0.08855987451574165,0.037167297664449706
12.739999999999963,0.08267169401096987,0.05498268244531346,0.09257417295065196,0.0375914905053385
12.759999999999962,0.08660897323170468,0.05857278803934207,0.09658847138556226,0.038015683346220186
12.779999999999962,0.09054255645958831,0.06216289363336358,0.10060276982047256,0.03843987618710898
12.799999999999962,0.0944761396874723,0.06575299922738509,0.10461706825538286,0.03886406902799777
12.819999999999961,0.09774703335270207,0.06866228214283865,0.10796333428280747,0.03930105213996882
12.83999999999996,0.10101792701793197,0.0715715650582851,0.11130960031023207,0.03973803525194697
12.85999999999996,0.10428502177989271,0.07448084797373866,0.11465586633765668,0.040175018363918014
12.87999999999996,0.10754831763858352,0.07739013088918512,0.11800213236508128,0.040612001475896164
12.89999999999996,0.11081161349727472,0.08029941380463157,0.12134839839250589,0.041048984587874315
12.919999999999959,0.11362264514053062,0.08273728160874327,0.1242503323698152,0.041513050761071923
12.939999999999959,0.1164336767837942,0.08517514941285498,0.12715226634713162,0.04197711693427664
12.959999999999958,0.11924080039104276,0.08761301721695958,0.13005420032444093,0.04244118310748135
12.979999999999958,0.12204401596229027,0.09005088502107839,0.13295613430175734,0.04290524928067896
12.999999999999957,0.12484723153353097,0.09248875282518298,0.13585806827906666,0.04336931545388367
13.019999999999957,0.12732885074687378,0.0945847390680612,0.13843323407884967,0.04384849501078847
13.039999999999957,0.12981046996021667,0.09668072531093941,0.14100839987863267,0.044327674567693265
13.059999999999956,0.13228806484070016,0.09877671155381762,0.14358356567841568,0.04480685412459806
13.079999999999956,0.1347616353883232,0.10087269779669583,0.1461587314781987,0.04528603368150286
13.099999999999955,0.13723520593594749,0.10296868403957404,0.1487338972779817,0.045765213238407654
13.119999999999955,0.1394730922105783,0.10480740649385467,0.15108179782275855,0.046274391328903874
13.139999999999954,0.14171097848521047,0.1066461289481424,0.1534296983675354,0.04678356941939299
13.159999999999954,0.1439447159955159,0.10848485140242303,0.15577759891231224,0.04729274750988921
13.179999999999954,0.14617430474149695,0.11032357385670366,0.15812549945708554,0.04780192560038188
13.199999999999953,0.14840389348747718,0.11216229631098429,0.1604734000018624,0.0483111036908781
13.219999999999953,0.15045658415630409,0.11380109104706548,0.16263945629289722,0.04883836524583174
13.239999999999952,0.15250927482512336,0.11543988578313957,0.16480551258392495,0.04936562680078538
13.259999999999952,0.15455768304505824,0.11707868051921366,0.16697156887495268,0.04989288835573902
13.279999999999951,0.15660180881611477,0.11871747525528775,0.16913762516598752,0.05042014991069976
13.299999999999951,0.15864593458716456,0.12035626999136184,0.17130368145701524,0.0509474114656534
13.31999999999995,0.16055485029057118,0.12183508861144077,0.17334350921499464,0.05150842060355387
13.33999999999995,0.1624637659939849,0.1233139072315268,0.17538333697298114,0.05206942974145434
13.35999999999995,0.1643682544110539,0.12479272585160572,0.17742316473096054,0.05263043887935481
13.37999999999995,0.166268315541785,0.12627154447167754,0.17946299248893993,0.05319144801726239
13.399999999999949,0.1681683766725164,0.12775036309175647,0.18150282024691933,0.05375245715516286
