frequency_GHz,S21_db,k_star
0.35000000000000014,-0.04942663310079172,1.951928630598669e-07
0.35200000000000015,-0.1159098210565905,1.6188000980248314e-07
0.3540000000000001,-0.10720376496621922,7.698262874801347e-08
0.3560000000000002,-0.03537306189053105,6.406040967566612e-08
0.35800000000000015,-0.0006041695694741498,1.4709055995735729e-07
0.36000000000000015,-0.05180419228718132,2.152812137129305e-07
0.36200000000000015,-0.1170432048017166,1.7883931648305165e-07
0.36400000000000016,-0.10551997315664721,9.44446703927005e-08
0.36600000000000016,-0.03320366600692842,8.498952657138084e-08
0.36800000000000016,-0.0009893585686095668,1.696449894754079e-07
0.37000000000000016,-0.05419707166955397,2.353409326286051e-07
0.37200000000000016,-0.11809275312384125,1.9583245589732678e-07
0.37400000000000017,-0.10376942184760282,1.1207509026606513e-07
0.37600000000000017,-0.031077754823898403,1.0610927328002888e-07
0.37800000000000017,-0.0014681916155054394,1.9226665093265843e-07
0.38000000000000017,-0.05660161241186377,2.553737500057742e-07
0.3820000000000002,-0.11905684795411284,2.128658277500764e-07
0.3840000000000002,-0.10195471399032247,1.2987943249012646e-07
0.3860000000000002,-0.028998619110726098,1.274199253565797e-07
0.3880000000000002,-0.0020399640019051883,2.149534341605152e-07
0.3900000000000002,-0.05901413739619988,2.7538157097630606e-07
0.3920000000000002,-0.1199339973731866,2.299459063996763e-07
0.3940000000000002,-0.10007855209048801,1.4786311908730754e-07
0.3960000000000002,-0.026969482817920578,1.4892160066226623e-07
0.3980000000000002,-0.002703827132422621,2.3770326478466872e-07
0.4000000000000002,-0.06143095694746538,2.9536647629265465e-07
0.4020000000000002,-0.1207228379029391,2.4707923504114875e-07
0.4040000000000002,-0.09814373455347244,1.6603144527217902e-07
0.4060000000000002,-0.024993498025622188,1.706142624296244e-07
0.4080000000000002,-0.0034587894832734693,2.6051411117960013e-07
0.4100000000000002,-0.06384837403046283,3.1533072277259953e-07
0.4120000000000002,-0.12142213664690688,2.6427241977492605e-07
0.4140000000000002,-0.0961531514996261,1.843895749112541e-07
