finger_length_um,Z0_ohm
36.9819,28.157
37.0583,28.075
37.1347,28.157
37.2111,28.157
37.2875,27.993
37.3639,28.075
37.4403,28.075
37.5167,27.912
37.5931,27.912
37.6695,27.912
37.7459,27.912
37.8223,27.830
37.8988,27.749
37.9752,27.749
38.0516,27.749
38.1280,27.749
38.2044,27.749
38.2808,27.749
38.3572,27.586
38.4336,27.586
38.5100,27.586
38.5864,27.423
38.6628,27.423
38.7393,27.504
38.8157,27.504
38.8921,27.423
38.9685,27.423
39.0449,27.423
39.1213,27.341
39.1977,27.341
39.2741,27.423
39.3505,27.423
39.4269,27.423
39.5033,27.259
39.5798,27.259
39.6562,27.259
39.7326,27.096
39.8090,27.096
39.8854,27.096
39.9618,27.096
40.0382,27.015
40.1146,27.096
40.1910,27.015
40.2674,26.933
40.3438,26.933
40.4202,26.933
40.4967,26.933
40.5731,26.852
40.6495,26.770
40.7259,26.688
40.8023,26.852
40.8787,26.688
40.9551,26.770
41.0315,26.770
41.1079,26.688
41.1843,26.688
41.2607,26.688
41.3372,26.688
41.4136,26.770
41.4900,26.607
41.5664,26.607
41.6428,26.607
41.7192,26.607
41.7956,26.444
41.8720,26.444
41.9484,26.444
42.0248,26.444
42.1012,26.444
42.1777,26.444
42.2541,26.444
42.3305,26.281
42.4069,26.281
42.4833,26.281
42.5597,26.199
42.6361,26.117
42.7125,26.199
42.7889,26.199
42.8653,26.281
42.9417,26.117
43.0181,26.117
43.0946,26.117
43.1710,26.199
43.2474,26.036
43.3238,26.199
43.4002,26.117
43.4766,26.036
43.5530,25.954
43.6294,25.954
43.7058,25.954
43.7822,25.954
43.8586,25.954
43.9351,25.873
44.0115,25.791
44.0879,25.791
44.1643,25.791
44.2407,25.791
44.3171,25.791
44.3935,25.791
44.4699,25.710
44.5463,25.710
44.6227,25.546
44.6991,25.546
44.7755,25.628
44.8520,25.628
44.9284,25.465
45.0048,25.546
45.0812,25.546
45.1576,25.546
45.2340,25.546
45.3104,25.546
45.3868,25.546
45.4632,25.546
45.5396,25.383
45.6160,25.465
45.6925,25.302
45.7689,25.302
45.8453,25.302
45.9217,25.302
45.9981,25.302
46.0745,25.302
46.1509,25.302
46.2273,25.302
46.3037,25.139
46.3801,25.139
46.4565,25.139
46.5330,25.139
46.6094,24.976
46.6858,25.057
46.7622,25.057
46.8386,25.057
46.9150,25.139
46.9914,25.057
